Name,Phase,Stage,N Runs,Seeds,Val Loss (mean),Val Loss (std),Train Time (s),Step Avg (ms),Memory (MiB),TW Enabled,Loss vs Base (%),Loss p-value,Cohen's d,Loss Sig,Time vs Base (%),Time p-value,Time Sig,Step Overhead (%),Function,Clamp,Schedule
baseline,1,full,4,"123, 42, 456, 789",3.3591249999999997,0.0008845903006476406,835.24425,279.345,30602.0,False,,,,,,,,,,,
p2_focal,2,screening,3,"123, 42, 456",4.257466666666667,0.007536798613027262,137.671,281.66333333333336,30603.0,True,26.743323534154495,1.9541326113765764e-05,186.54489393092862,✓,-83.51727653318176,1.722329659931113e-06,✓,0.8299176048733028,focal,"[0.5, 2.0]",constant
p2_log,2,screening,3,"123, 42, 456",4.269666666666667,0.005412331598611776,136.809,279.41333333333336,30603.0,True,27.106513352931707,8.03810618251526e-06,260.8281062307996,✓,-83.62047987759269,1.1172560946972037e-06,✓,0.024461985477931596,log,"[0.8, 1.3]",constant
p2_sqrt,2,screening,3,"123, 42, 456",4.282733333333333,0.0027934447074055646,137.179,280.2433333333333,30603.0,True,27.49550354134881,5.967150305798037e-07,487.40526784458035,✓,-83.57618145829798,2.219933151027468e-06,✓,0.3215856139659758,sqrt,"[0.7, 1.5]",constant
p2_linear,2,screening,3,"123, 42, 456",4.358466666666667,0.01884471632403441,134.38366666666667,274.4866666666667,30603.0,True,29.750058919113375,0.00011570995859157184,83.71010102304963,✓,-83.91085402064526,3.959881841518981e-06,✓,-1.7391875041018627,linear,"[0.5, 2.0]",constant
p3_clamp_aggressive,3,screening,2,"123, 42",4.2505,0.012869343417595318,134.458,274.645,30603.0,True,26.535928255125967,0.006373033393494613,137.55545443108818,✓,-83.90195442830046,4.026891005076167e-06,✓,-1.6825072938481251,focal,"[0.4, 2.0]",constant
p3_clamp_conservative,3,screening,2,"123, 42",4.25705,0.007424621202458402,134.2545,274.175,30603.0,True,26.730919510289137,0.00348178478354889,236.88633813720799,✓,-83.92631855891256,3.88831260643662e-06,✓,-1.8507580232329253,focal,"[0.8, 1.2]",constant
p3_clamp_very_aggressive,3,screening,2,"123, 42",4.26285,0.008131727983645186,137.225,280.825,30603.0,True,26.903583522494717,0.0038350852664192025,218.42794494476226,✓,-83.57067408725052,3.631337266615808e-06,✓,0.529810807424497,focal,"[0.3, 3.0]",constant
p3_clamp_moderate,3,screening,2,"123, 42",4.2663,0.0001414213562369799,137.3395,280.53499999999997,30603.0,True,27.006288840099746,4.021144831245494e-11,1179.169059802186,✓,-83.55696552236067,7.73715507477335e-07,✓,0.4259965275913085,focal,"[0.6, 1.5]",constant
p3_percentile,3,screening,2,"123, 42",4.652,0.0015556349186105472,138.241,282.33500000000004,30603.0,True,38.488445651769446,6.074451618653836e-05,1184.243971244711,✓,-83.44903302237638,2.9622194339187074e-07,✓,1.07036102310763,focal,"[0.5, 2.0]",constant
